Year,Variable,Variable Label
2022,lg_spap,Language: BG: Spanish: Any English Proficiency Percent
2022,lg_splp,Language: BG: Spanish: Limited English Percent
2022,lg_ieap,Language: BG: Indo-European: Any English Proficiency Percent
2022,lg_ielp,Language: BG: Indo-European: Limited English Percent
2022,lg_apap,Language: BG: Asian and Pacific Island: Any English Proficiency Percent
2022,lg_aplp,Language: BG: Asian and Pacific Island: Any Limited English Percent
2022,lg_lenp,Language: BG: Any: Limited English Percent
2022,lg_fhap,"Language: TR: French, Haitian, or Cajun: Any English Proficiency Percent"
2022,lg_fhlp,"Language: TR: French, Haitian, or Cajun: Speak English less than very we..."
2022,lg_grap,Language: TR: German or other West Germanic Languages: Any English Profi...
2022,lg_grlp,Language: TR: German or other West Germanic Languages: Speak English les...
2022,lg_rpap,"Language: TR: Russian, Polish, or other Slavic Languages: Any English Pr..."
2022,lg_rplp,"Language: TR: Russian, Polish, or other Slavic Languages: Speak English ..."
2022,lg_krap,Language: TR: Korean: Any English Proficiency Percent
2022,lg_krlp,Language: TR: Korean: Speak English less than very well Percent
2022,lg_chap,"Language: TR: Chinese (incl. Mandarin, Cantonese): Any English Proficien..."
2022,lg_chlp,"Language: TR: Chinese (incl. Mandarin, Cantonese): Speak English less th..."
2022,lg_vtap,Language: TR: Vietnamese: Any English Proficiency Percent
2022,lg_vtlp,Language: TR: Vietnamese: Speak English less than very well Percent
2022,lg_tgap,Language: TR: Tagalog: Any English Proficiency Percent
2022,lg_tglp,Language: TR: Tagalog: Speak English less than very well Percent
2022,lg_arap,Language: TR: Arabic: Any English Proficiency Percent
2022,lg_arlp,Language: TR: Arabic: Speak English less than very well Percent
2022,pt_0005p,Poverty: Ratio of Income to Poverty Level: 0.00 to 0.50 Percent
2022,pt_0599p,Poverty: Ratio of Income to Poverty Level: 0.50 to 0.99 Percent
2022,pt_0099p,Poverty: Ratio of Income to Poverty Level: 0.00 to 0.99 Percent
2022,lf_1ilfp,Labor Force: 16 Plus YO: In LF Percent
2022,lf_1icap,Labor Force: 16 Plus YO: In LF: Civilian Percent
2022,lf_1icep,Labor Force: 16 Plus YO: In LF: Civilian: Employed Percent
2022,lf_1icup,Labor Force: 16 Plus YO: In LF: Civilian: Unemployed Percent
2022,lf_1iafp,Labor Force: 16 Plus YO: In LF: Armed Forces Percent
2022,lf_1nlfp,Labor Force: 16 Plus YO: Not In LF Percent
2022,lf_2denp,Labor Force: 20-64 Year Old: Denominator Percent
2022,lf_2uwdp,Labor Force: Unemployed with a Disability Percent
2022,lf_2undp,Labor Force: Unemployed with No Disability Percent
2022,lf_2uwpp,Labor Force: Unemployed in Poverty Percent
2022,lf_2unpp,Labor Force: Unemployed Not in Poverty Percent
2022,lf_2uepp,Labor Force: Unemployed Percent
2022,lf_2nwdp,Labor Force: Not in Labor Force with a Disability Percent
2022,lf_2nndp,Labor Force: Not in Labor Force with No Disability Percent
2022,lf_2nwpp,Labor Force: Not in Labor Force in Poverty Percent
2022,lf_2nnpp,Labor Force: Not in Labor Force Not in Poverty Percent
2022,lf_2nlfp,Labor Force: Not in Labor Force Percent
2022,lf_3yfyp,Labor Force: 16-64 YO: Full Time Year Round Percent
2022,lf_3yfsp,Labor Force: 16-64 YO: Full Time Seasonally Percent
2022,lf_3ypyp,Labor Force: 16-64 YO: Part Time Year Round Percent
2022,lf_3ypsp,Labor Force: 16-64 YO: Part Time Seasonally Percent
2022,lf_3ylyp,Labor Force: 16-64 YO: Limited Time Year Round Percent
2022,lf_3ylsp,Labor Force: 16-64 YO: Limited Time Seasonally Percent
2022,lf_3nwmp,Labor Force: 16-64 YO: Did Not Work: Males Percent
2022,lf_3nwfp,Labor Force: 16-64 YO: Did Not Work: Females Percent
2022,lf_3nwap,Labor Force: 16-64 YO: Did Not Work: All Percent
2022,lf_4yfyp,Labor Force: 65+ YO: Full Time Year Round Percent
2022,lf_4yfsp,Labor Force: 65+ YO: Full Time Seasonally Percent
2022,lf_4ypyp,Labor Force: 65+ YO: Part Time Year Round Percent
2022,lf_4ypsp,Labor Force: 65+ YO: Part Time Seasonally Percent
2022,lf_4ylyp,Labor Force: 65+ YO: Limited Time Year Round Percent
2022,lf_4ylsp,Labor Force: 65+ YO: Limited Time Seasonally Percent
2022,lf_4nwmp,Labor Force: 65+ YO: Did Not Work: Males Percent
2022,lf_4nwfp,Labor Force: 65+ YO: Did Not Work: Females Percent
2022,lf_4nwap,Labor Force: 65+ YO: Did Not Work: All Percent
2022,lf_5yfyp,Labor Force: 16+ YO: Full Time Year Round Percent
2022,lf_5yfsp,Labor Force: 16+ YO: Full Time Seasonally Percent
2022,lf_5ypyp,Labor Force: 16+ YO: Part Time Year Round Percent
2022,lf_5ypsp,Labor Force: 16+ YO: Part Time Seasonally Percent
2022,lf_5ylyp,Labor Force: 16+ YO: Limited Time Year Round Percent
2022,lf_5ylsp,Labor Force: 16+ YO: Limited Time Seasonally Percent
2022,lf_5nwmp,Labor Force: 16+ YO: Did Not Work: Males Percent
2022,lf_5nwfp,Labor Force: 16+ YO: Did Not Work: Females Percent
2022,lf_5nwap,Labor Force: 16+ YO: Did Not Work: All Percent
2022,lf_6ftp,Labor Force: 16+ YO: Worked Full Time Year Round Percent
2022,lf_6ptp,Labor Force:16+ YO: Worked Less Than Full Time Year Round Percent
2022,lf_6nwp,Labor Force: 16+ YO: Did Not Work in Past 12 Mos Percent
