name,party,district_type,district_number,counties,county_count
Allissa Impink,D,Senate District,46,Marion,1
Clif Marsiglio,D,Senate District,46,Marion,1
Ethan Sweetland-May,D,Senate District,47,"Floyd, Harrison, Washington",3
Gary Byrne,R,Senate District,47,"Floyd, Harrison, Washington",3
Bradley (Brad) Hochgesang,D,Senate District,48,"Crawford, Dubois, Gibson, Perry, Pike, Spencer",6
Daryl Schmitt,R,Senate District,48,"Crawford, Dubois, Gibson, Perry, Pike, Spencer",6
Cindi Clayton,D,Senate District,49,"Posey, Vanderburgh",2
Brandi Durham Pugh,R,Senate District,49,"Posey, Vanderburgh",2
Jim Tomes,R,Senate District,49,"Posey, Vanderburgh",2
Mary Allen,D,Congressional District,8,"Clay, Crawford, Daviess, Dubois, Fountain, Gibson, Greene, Knox, Martin, Orange, Owen, Parke, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Vermillion, Vigo, Warrick",21
Mario Foradori,D,Congressional District,8,"Clay, Crawford, Daviess, Dubois, Fountain, Gibson, Greene, Knox, Martin, Orange, Owen, Parke, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Vermillion, Vigo, Warrick",21
Christopher Rector,D,Congressional District,8,"Clay, Crawford, Daviess, Dubois, Fountain, Gibson, Greene, Knox, Martin, Orange, Owen, Parke, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Vermillion, Vigo, Warrick",21
Tabitha Zeigler,D,Congressional District,8,"Clay, Crawford, Daviess, Dubois, Fountain, Gibson, Greene, Knox, Martin, Orange, Owen, Parke, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Vermillion, Vigo, Warrick",21
Mark Messmer,R,Congressional District,8,"Clay, Crawford, Daviess, Dubois, Fountain, Gibson, Greene, Knox, Martin, Orange, Owen, Parke, Perry, Pike, Posey, Spencer, Sullivan, Vanderburgh, Vermillion, Vigo, Warrick",21
Steven Avitabile Avit,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
J.D. Ford,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Jackson Franklin,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Phil Goss,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Dylan McKenna,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Tara Nelson,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Deborah A Pickett,D,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Scott A. King,R,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Victoria Spartz,R,Congressional District,5,"Delaware, Grant, Hamilton, Howard, Madison, Tipton",6
Frank J. Mrvan,D,Congressional District,1,"LaPorte, Lake, Porter",3
LaVetta Sparks-Wade,D,Congressional District,1,"LaPorte, Lake, Porter",3
Barb Regnitz,R,Congressional District,1,"LaPorte, Lake, Porter",3
Ben Ruiz,R,Congressional District,1,"LaPorte, Lake, Porter",3
James Kent (Jim) Schenke,R,Congressional District,1,"LaPorte, Lake, Porter",3
Drew Cox,D,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
Roger D. Day,D,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
Darin Patrick Griesey,D,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
"Thomas D. Hall, Jr.",D,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
Joe Mackey,D,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
Jayden McCash,D,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
Paul McPherson,D,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
John Phillip Whetstone,D,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
Jim Baird,R,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
Craig Haggard,R,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
John Piper,R,Congressional District,4,"Benton, Boone, Carroll, Cass, Clinton, Fountain, Hendricks, Howard, Jasper, Montgomery, Morgan, Newton, Putnam, Tippecanoe, Warren, White",16
James H. (Jim) Graham,D,Congressional District,9,"Bartholomew, Brown, Clark, Dearborn, Decatur, Floyd, Franklin, Harrison, Jackson, Jefferson, Jennings, Lawrence, Monroe, Ohio, Ripley, Scott, Switzerland, Washington",18
Brad A. Meyer,D,Congressional District,9,"Bartholomew, Brown, Clark, Dearborn, Decatur, Floyd, Franklin, Harrison, Jackson, Jefferson, Jennings, Lawrence, Monroe, Ohio, Ripley, Scott, Switzerland, Washington",18
Tim Peck,D,Congressional District,9,"Bartholomew, Brown, Clark, Dearborn, Decatur, Floyd, Franklin, Harrison, Jackson, Jefferson, Jennings, Lawrence, Monroe, Ohio, Ripley, Scott, Switzerland, Washington",18
Keil L. Roark,D,Congressional District,9,"Bartholomew, Brown, Clark, Dearborn, Decatur, Floyd, Franklin, Harrison, Jackson, Jefferson, Jennings, Lawrence, Monroe, Ohio, Ripley, Scott, Switzerland, Washington",18
Erin Houchin,R,Congressional District,9,"Bartholomew, Brown, Clark, Dearborn, Decatur, Floyd, Franklin, Harrison, Jackson, Jefferson, Jennings, Lawrence, Monroe, Ohio, Ripley, Scott, Switzerland, Washington",18
Jamee Decio,D,Congressional District,2,"Cass, Elkhart, Fulton, Kosciusko, LaPorte, Marshall, Miami, Pulaski, St. Joseph, Starke, Wabash",11
Shaun Michael Maeyens,D,Congressional District,2,"Cass, Elkhart, Fulton, Kosciusko, LaPorte, Marshall, Miami, Pulaski, St. Joseph, Starke, Wabash",11
Rudy Yakym,R,Congressional District,2,"Cass, Elkhart, Fulton, Kosciusko, LaPorte, Marshall, Miami, Pulaski, St. Joseph, Starke, Wabash",11
André Carson,D,Congressional District,7,Marion,1
Denise Paul Hatch,D,Congressional District,7,Marion,1
George Hornedo,D,Congressional District,7,Marion,1
Destiny Wells,D,Congressional District,7,Marion,1
Patrick McAuley,R,Congressional District,7,Marion,1
Felipe Rios,R,Congressional District,7,Marion,1
William Kory Amyx,D,Congressional District,6,"Bartholomew, Fayette, Hancock, Henry, Johnson, Marion, Randolph, Rush, Shelby, Union, Wayne",11
Nicholas Frederick Baker,D,Congressional District,6,"Bartholomew, Fayette, Hancock, Henry, Johnson, Marion, Randolph, Rush, Shelby, Union, Wayne",11
David Lawrence Boyd,D,Congressional District,6,"Bartholomew, Fayette, Hancock, Henry, Johnson, Marion, Randolph, Rush, Shelby, Union, Wayne",11
Cynthia (Cinde) Wirth,D,Congressional District,6,"Bartholomew, Fayette, Hancock, Henry, Johnson, Marion, Randolph, Rush, Shelby, Union, Wayne",11
Sarah Janisse Brown,R,Congressional District,6,"Bartholomew, Fayette, Hancock, Henry, Johnson, Marion, Randolph, Rush, Shelby, Union, Wayne",11
Jefferson Shreve,R,Congressional District,6,"Bartholomew, Fayette, Hancock, Henry, Johnson, Marion, Randolph, Rush, Shelby, Union, Wayne",11
Kelly Thompson,D,Congressional District,3,"Adams, Allen, Blackford, DeKalb, Huntington, Jay, Kosciusko, LaGrange, Noble, Randolph, Steuben, Wells, Whitley",13
Jon M. Kenworthy,R,Congressional District,3,"Adams, Allen, Blackford, DeKalb, Huntington, Jay, Kosciusko, LaGrange, Noble, Randolph, Steuben, Wells, Whitley",13
Marlin A. Stutzman,R,Congressional District,3,"Adams, Allen, Blackford, DeKalb, Huntington, Jay, Kosciusko, LaGrange, Noble, Randolph, Steuben, Wells, Whitley",13
